rowId;itemId;soldQuantity;availableQuantity
1;MPE433108265;6;9
2;MPE434382765;6;3
3;MPE433853177;3;17
4;MPE419883282;15;18
5;MPE431714651;15;1
6;MPE438492919;0;100
7;MPE429448587;0;50
8;MPE439307195;0;3
9;MPE439307251;0;3
10;MPE437503507;0;10
11;MPE438828260;0;3
12;MPE439307426;0;3
13;MPE440306037;0;1
14;MPE439307206;0;3
15;MPE431446248;2;23
16;MPE439307250;0;3
17;MPE439510012;0;1
18;MPE439307317;0;3
19;MPE439307286;0;3
20;MPE439307385;0;3
21;MPE440131689;0;7
22;MPE432990777;1;5
23;MPE440389411;1;9
24;MPE421767433;4;11
25;MPE432990779;0;1
26;MPE432439269;2;1
27;MPE431410374;0;1
28;MPE430002527;1;1
29;MPE432990781;0;1
30;MPE432202936;0;10
31;MPE428549066;0;5
32;MPE428549082;1;4
33;MPE433933924;1;1
34;MPE432291284;2;1
35;MPE432728801;1;1
36;MPE433252062;2;1
37;MPE436649728;0;100
38;MPE427140390;10;2
39;MPE433046443;0;999
